System,Label,File,JobID,Date,Nodes,Cores,Processes,Threads,Energy,KPAR,NCORE,NPAR,Bands,LOOP+ Time,Runtime
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-LibSci/CdTe_1nodes_64cores_1threads_8NCORE_2KPAR_11998532_202512261049.OUTCAR,11998532,2025.12.26 10:49:12,1,64,64,1,4250575,2,8,4,640,2824.3008,7810.081
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-LibSci/CdTe_8nodes_1024cores_1threads_16NCORE_2KPAR_11956600_202512220359.OUTCAR,11956600,2025.12.22 04:00:21,8,1024,1024,1,4679362,2,16,32,640,384.3801,1130.748
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-LibSci/CdTe_1nodes_128cores_1threads_16NCORE_2KPAR_11998541_202512261311.OUTCAR,11998541,2025.12.26 13:12:20,1,128,128,1,3694136,2,16,4,640,2780.7092,7405.083
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-LibSci/CdTe_1nodes_64cores_1threads_4NCORE_4KPAR_11998534_202512261050.OUTCAR,11998534,2025.12.26 10:50:32,1,64,64,1,7130136,4,4,4,640,5275.2964,14422.733
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-LibSci/CdTe_1nodes_32cores_1threads_4NCORE_4KPAR_11998524_202512261006.OUTCAR,11998524,2025.12.26 10:06:51,1,32,32,1,8140954,4,4,2,640,7734.694,21901.895
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-LibSci/CdTe_1nodes_128cores_1threads_4NCORE_4KPAR_11998542_202512261355.OUTCAR,11998542,2025.12.26 13:56:04,1,128,128,1,6105158,4,4,8,640,4650.2274,12485.22
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-LibSci/CdTe_4nodes_512cores_1threads_8NCORE_4KPAR_11956596_202512220549.OUTCAR,11956596,2025.12.22 05:49:41,4,512,512,1,7132111,4,8,16,640,1308.6114,3470.586
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-LibSci/CdTe_1nodes_64cores_1threads_8NCORE_8KPAR_11998538_202512261307.OUTCAR,11998538,2025.12.26 13:07:57,1,64,64,1,13222741,8,8,1,640,10903.7132,30172.443
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-LibSci/CdTe_8nodes_1024cores_1threads_4NCORE_2KPAR_11998557_202512261332.OUTCAR,11998557,2025.12.26 13:33:08,8,1024,1024,1,4537432,2,4,128,640,348.0442,1066.61
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-LibSci/CdTe_1nodes_128cores_1threads_16NCORE_4KPAR_11956585_202512220304.OUTCAR,11956585,2025.12.22 03:05:07,1,128,128,1,7414920,4,16,2,640,5517.1525,14638.71
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-LibSci/CdTe_64nodes_8192cores_1threads_16NCORE_4KPAR_11956621_202512220130.OUTCAR,11956621,2025.12.22 01:31:37,64,8192,8192,1,24484627,4,16,128,640,112.5474,770.226
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/CdTe_Hybrid/6.5.1-GCC-LibSci/CdTe_64nodes_8192cores_1threads_8NCORE_2KPAR_11956617_202512220045.OUTCAR,11956617,2025.12.22 00:46:41,64,8192,8192,1,51856874,2,8,512,1024,171.0579,1680.987
