System,Label,File,JobID,Date,Nodes,Cores,Processes,Threads,GPUs,Energy,KPAR,NCORE,NPAR,Bands,LOOP+ Time,Runtime
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_2nodes_8cores_72threads_1NCORE_4KPAR_202603232123.OUTCAR,202603232123,2026.03.23 21:23:41,2,576,8,72,8,3120914.7853333335,4,1,2,770,400.2264,1117.894
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_4nodes_16cores_72threads_1NCORE_4KPAR_202603200823.OUTCAR,202603200823,2026.03.20 08:24:03,4,1152,16,72,16,3165494.3079999997,4,1,4,772,200.6839,597.39
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_32nodes_128cores_72threads_1NCORE_4KPAR_202603191245.OUTCAR,202603191245,2026.03.19 12:45:57,32,9216,128,72,128,9668199.266666668,4,1,32,800,90.3594,363.895
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_32nodes_128cores_72threads_1NCORE_4KPAR_202603232235.OUTCAR,202603232235,2026.03.23 22:35:48,32,9216,128,72,128,8058181.92,4,1,32,800,83.5422,347.71
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_1nodes_4cores_72threads_1NCORE_2KPAR_202603191226.OUTCAR,202603191226,2026.03.19 12:27:11,1,288,4,72,4,2808582.818451613,2,1,2,770,755.4835,1863.326
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_2nodes_8cores_72threads_1NCORE_4KPAR_202603210734.OUTCAR,202603210734,2026.03.21 07:35:06,2,576,8,72,8,3023318.5489142854,4,1,2,770,391.0382,1051.551
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_16nodes_64cores_72threads_1NCORE_4KPAR_202603201146.OUTCAR,202603201146,2026.03.20 11:46:50,16,4608,64,72,64,5875575.864727273,4,1,16,784,85.4375,354.377
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_1nodes_4cores_72threads_1NCORE_8KPAR_202603191245.OUTCAR,202603191245,2026.03.19 12:45:46,1,288,4,72,4,2857656.853384615,4,1,1,770,771.1309,1963.127
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_8nodes_32cores_72threads_1NCORE_4KPAR_202603191226.OUTCAR,202603191226,2026.03.19 12:27:23,8,2304,32,72,32,4016957.9205423724,4,1,8,776,136.1283,456.414
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_16nodes_64cores_72threads_1NCORE_8KPAR_202603232227.OUTCAR,202603232227,2026.03.23 22:28:12,16,4608,64,72,64,5206665.472,8,1,8,776,78.2522,311.36
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_2nodes_8cores_72threads_1NCORE_8KPAR_202603191618.OUTCAR,202603191618,2026.03.19 16:18:19,2,576,8,72,8,3228745.4669629633,8,1,1,770,424.5971,1290.457
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_8nodes_32cores_72threads_1NCORE_4KPAR_202603191619.OUTCAR,202603191619,2026.03.19 16:20:11,8,2304,32,72,32,3944809.916631579,4,1,8,776,133.4705,462.474
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_1nodes_4cores_72threads_1NCORE_4KPAR_202603191245.OUTCAR,202603191245,2026.03.19 12:45:46,1,288,4,72,4,2870858.359356863,4,1,1,770,772.2334,1963.807
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_16nodes_64cores_72threads_1NCORE_8KPAR_202603232233.OUTCAR,202603232233,2026.03.23 22:34:12,16,4608,64,72,64,5859167.515675676,8,1,8,776,78.5981,313.66
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_2nodes_8cores_72threads_1NCORE_1KPAR_202603201146.OUTCAR,202603201146,2026.03.20 11:46:48,2,576,8,72,8,3274236.7764761904,1,1,8,776,463.9152,1261.301
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_8nodes_32cores_72threads_1NCORE_8KPAR_202603191619.OUTCAR,202603191619,2026.03.19 16:20:17,8,2304,32,72,32,3550665.439384615,8,1,4,772,111.0348,397.613
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_4nodes_16cores_72threads_1NCORE_1KPAR_202603232131.OUTCAR,202603232131,2026.03.23 21:31:32,4,1152,16,72,16,4077765.341090909,1,1,16,784,322.6005,994.833
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_4nodes_16cores_72threads_1NCORE_2KPAR_202603200823.OUTCAR,202603200823,2026.03.20 08:23:57,4,1152,16,72,16,3519226.6144,2,1,8,776,248.476,750.885
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_16nodes_64cores_72threads_1NCORE_8KPAR_202603200823.OUTCAR,202603200823,2026.03.20 08:23:58,16,4608,64,72,64,5692871.409599999,8,1,8,776,74.6658,317.431
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_64nodes_256cores_72threads_1NCORE_8KPAR_202603210734.OUTCAR,202603210734,2026.03.21 07:35:11,64,18432,256,72,256,13534776.040000001,8,1,32,800,45.8348,249.645
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_16nodes_64cores_72threads_1NCORE_8KPAR_202603191245.OUTCAR,202603191245,2026.03.19 12:45:53,16,4608,64,72,64,6001268.681599999,8,1,8,776,77.8091,320.066
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_1nodes_4cores_72threads_1NCORE_2KPAR_202603200823.OUTCAR,202603200823,2026.03.20 08:23:47,1,288,4,72,4,2888590.946153846,2,1,2,770,763.5484,1947.25
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_2nodes_8cores_72threads_1NCORE_2KPAR_202603200823.OUTCAR,202603200823,2026.03.20 08:24:02,2,576,8,72,8,2941494.78,2,1,4,772,381.9708,1007.985
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_1nodes_4cores_72threads_1NCORE_2KPAR_202603210734.OUTCAR,202603210734,2026.03.21 07:35:00,1,288,4,72,4,2761381.081032258,2,1,2,770,751.8929,1870.358
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_16nodes_64cores_72threads_1NCORE_4KPAR_202603232228.OUTCAR,202603232228,2026.03.23 22:29:04,16,4608,64,72,64,5839680.331636363,4,1,16,784,84.6047,352.799
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_32nodes_128cores_72threads_1NCORE_8KPAR_202603210734.OUTCAR,202603210734,2026.03.21 07:35:11,32,9216,128,72,128,4998834.56,8,1,16,784,50.2402,255.678
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_1nodes_4cores_72threads_1NCORE_2KPAR_202603191245.OUTCAR,202603191245,2026.03.19 12:45:43,1,288,4,72,4,2696293.753096774,2,1,2,770,755.598,1872.798
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_32nodes_128cores_72threads_1NCORE_8KPAR_202603201146.OUTCAR,202603201146,2026.03.20 11:46:57,32,9216,128,72,128,4954961.231448276,8,1,16,784,49.1189,255.656
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_16nodes_64cores_72threads_1NCORE_4KPAR_202603191245.OUTCAR,202603191245,2026.03.19 12:45:53,16,4608,64,72,64,5092071.909818182,4,1,16,784,82.5955,344.093
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_1nodes_4cores_72threads_1NCORE_4KPAR_202603191226.OUTCAR,202603191226,2026.03.19 12:27:14,1,288,4,72,4,2845835.647875,4,1,1,770,771.303,1955.897
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_4nodes_16cores_72threads_1NCORE_4KPAR_202603191245.OUTCAR,202603191245,2026.03.19 12:45:59,4,1152,16,72,16,3214179.077546667,4,1,4,772,200.9888,597.737
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_1nodes_4cores_72threads_1NCORE_8KPAR_202603191226.OUTCAR,202603191226,2026.03.19 12:27:14,1,288,4,72,4,2881750.201944223,4,1,1,770,771.6637,1961.512
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_1nodes_4cores_72threads_1NCORE_2KPAR_202603232122.OUTCAR,202603232122,2026.03.23 21:22:35,1,288,4,72,4,2759392.748612903,2,1,2,770,757.0569,1872.817
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_8nodes_32cores_72threads_1NCORE_8KPAR_202603232148.OUTCAR,202603232148,2026.03.23 21:48:59,8,2304,32,72,32,3765552.1399999997,8,1,4,772,111.2838,399.33
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_4nodes_16cores_72threads_1NCORE_8KPAR_202603191619.OUTCAR,202603191619,2026.03.19 16:20:07,4,1152,16,72,16,3357279.7688470585,8,1,2,770,213.9919,658.088
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/CdTe_Hybrid/6.5.1-NVHPC-LibSci-OpenACC/CdTe_2nodes_8cores_72threads_1NCORE_8KPAR_202603191245.OUTCAR,202603191245,2026.03.19 12:45:49,2,576,8,72,8,3416766.11539394,8,1,1,770,417.0859,1231.181
