System,Label,File,JobID,Date,Nodes,Cores,Processes,Threads,GPUs,Energy,KPAR,NCORE,NPAR,Bands,LOOP+ Time,Runtime
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_4nodes_16cores_8threads_1NCORE_8KPAR_130404_202512241432.OUTCAR,130404,2025.12.24 14:32:40,4,128,16,8,16,4045654.4104999998,8,1,2,770,439.8278,1286.212
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_1nodes_4cores_8threads_1NCORE_2KPAR_130665_202512270815.OUTCAR,130665,2025.12.27 08:16:01,1,32,4,8,4,3232578.6533438116,2,1,2,770,1632.3614,4164.402
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_2nodes_8cores_8threads_1NCORE_8KPAR_130359_202512231628.OUTCAR,130359,2025.12.23 16:28:32,2,64,8,8,8,3883802.6176,8,1,1,770,816.9006,2342.726
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_1nodes_4cores_8threads_1NCORE_1KPAR_130366_202512231721.OUTCAR,130366,2025.12.23 17:21:38,1,32,4,8,4,3215613.777390625,1,1,4,772,1637.0526,4122.509
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_2nodes_8cores_8threads_1NCORE_4KPAR_130862_202512300556.OUTCAR,130862,2025.12.30 05:56:49,2,64,8,8,8,3499824.7894901964,4,1,2,770,832.1431,2231.489
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_4nodes_16cores_8threads_1NCORE_8KPAR_130633_202512281741.OUTCAR,130633,2025.12.28 17:41:55,4,128,16,8,16,4049916.4619354834,8,1,2,770,403.6892,1160.985
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_1nodes_4cores_8threads_1NCORE_1KPAR_130672_202512270813.OUTCAR,130672,2025.12.27 08:13:37,1,32,4,8,4,3273601.501211618,1,1,4,772,1509.6053,3822.971
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_4nodes_16cores_8threads_1NCORE_4KPAR_130634_202512281802.OUTCAR,130634,2025.12.28 18:02:30,4,128,16,8,16,3872999.1503589745,4,1,4,772,391.133,1104.333
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_2nodes_8cores_8threads_1NCORE_2KPAR_130428_202512241219.OUTCAR,130428,2025.12.24 12:20:44,2,64,8,8,8,3500838.478466667,2,1,4,772,776.6163,2113.178
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_8nodes_32cores_8threads_1NCORE_8KPAR_130864_202512300746.OUTCAR,130864,2025.12.30 07:47:20,8,256,32,8,32,4574371.804235294,8,1,4,772,224.2857,730.658
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_8nodes_32cores_8threads_1NCORE_4KPAR_130762_202512300709.OUTCAR,130762,2025.12.30 07:10:17,8,256,32,8,32,8149511.312786886,4,1,8,776,295.8545,1361.43
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_2nodes_8cores_8threads_1NCORE_4KPAR_130334_202512231523.OUTCAR,130334,2025.12.23 15:24:09,2,64,8,8,8,3544342.735089431,4,1,2,770,785.5615,2158.996
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_1nodes_4cores_8threads_1NCORE_1KPAR_130760_202512290722.OUTCAR,130760,2025.12.29 07:22:48,1,32,4,8,4,3268092.363149606,1,1,4,772,1635.2072,4120.165
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_8nodes_32cores_8threads_1NCORE_8KPAR_130859_202512300733.OUTCAR,130859,2025.12.30 07:34:11,8,256,32,8,32,4553016.479507692,8,1,4,772,224.3832,732.276
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_2nodes_8cores_8threads_1NCORE_2KPAR_130863_202512300558.OUTCAR,130863,2025.12.30 05:59:06,2,64,8,8,8,3393197.4049538462,2,1,4,772,826.5548,2179.061
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_8nodes_32cores_8threads_1NCORE_4KPAR_130623_202512291548.OUTCAR,130623,2025.12.29 15:49:01,8,256,32,8,32,8241496.331130435,4,1,8,776,295.7804,1369.386
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_1nodes_4cores_8threads_1NCORE_2KPAR_130761_202512290715.OUTCAR,130761,2025.12.29 07:15:57,1,32,4,8,4,3281145.4196535433,2,1,2,770,1627.414,4151.708
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_2nodes_8cores_8threads_1NCORE_4KPAR_130626_202512261034.OUTCAR,130626,2025.12.26 10:34:21,2,64,8,8,8,3531356.297233201,4,1,2,770,783.3941,2153.584
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_2nodes_8cores_8threads_1NCORE_2KPAR_130625_202512260956.OUTCAR,130625,2025.12.26 09:57:21,2,64,8,8,8,3433021.23879365,2,1,4,772,826.8149,2190.394
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_1nodes_4cores_8threads_1NCORE_2KPAR_130403_202512240935.OUTCAR,130403,2025.12.24 09:36:31,1,32,4,8,4,3294548.524784159,2,1,2,770,1629.8646,4170.479
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_4nodes_16cores_8threads_1NCORE_4KPAR_130635_202512281821.OUTCAR,130635,2025.12.28 18:21:44,4,128,16,8,16,3859175.9295999995,4,1,4,772,390.7411,1102.588
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_4nodes_16cores_8threads_1NCORE_8KPAR_130632_202512281720.OUTCAR,130632,2025.12.28 17:21:18,4,128,16,8,16,3994790.68,8,1,2,770,403.5126,1161.468
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_8nodes_32cores_8threads_1NCORE_8KPAR_130624_202512291557.OUTCAR,130624,2025.12.29 15:57:36,8,256,32,8,32,4552488.436363636,8,1,4,772,224.7466,733.233
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_4nodes_16cores_8threads_1NCORE_4KPAR_130405_202512241455.OUTCAR,130405,2025.12.24 14:55:58,4,128,16,8,16,3818130.6124848486,4,1,4,772,424.2277,1212.931
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/CdTe_Hybrid/6.5.1-GCC-MKL-OpenACC/CdTe_8nodes_32cores_8threads_1NCORE_4KPAR_130865_202512300800.OUTCAR,130865,2025.12.30 08:00:24,8,256,32,8,32,8343511.963773585,4,1,8,776,297.7986,1368.155
