System,Label,File,JobID,Date,Nodes,Cores,Processes,Threads,Energy,KPAR,NCORE,NPAR,Bands,LOOP+ Time,Runtime
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_8nodes_256cores_1threads_16NCORE_11961856_202512221144.OUTCAR,11961856,2025.12.22 11:44:46,8,256,256,1,2713356,1,16,16,5184,93.4356,815.627
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_1nodes_64cores_1threads_4NCORE_11961827_202512220941.OUTCAR,11961827,2025.12.22 09:41:57,1,64,64,1,2407776,1,4,16,5184,798.5764,5361.809
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_32nodes_2048cores_1threads_4NCORE_11961877_202512221207.OUTCAR,11961877,2025.12.22 12:08:21,32,2048,2048,1,9600750,1,4,512,5632,29.998,680.289
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_8nodes_512cores_1threads_16NCORE_11961859_202512221151.OUTCAR,11961859,2025.12.22 11:51:46,8,512,512,1,3279218,1,16,32,5184,96.343,848.161
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_4nodes_256cores_1threads_4NCORE_11961847_202512221114.OUTCAR,11961847,2025.12.22 11:15:09,4,256,256,1,2836737,1,4,64,5184,198.2239,1464.71
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_1nodes_32cores_1threads_8NCORE_11961825_202512220941.OUTCAR,11961825,2025.12.22 09:41:53,1,32,32,1,2399343,1,8,4,5184,807.2512,5350.758
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_1nodes_128cores_1threads_16NCORE_11961832_202512220941.OUTCAR,11961832,2025.12.22 09:41:44,1,128,128,1,2718204,1,16,8,5184,810.1782,5503.314
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_16nodes_2048cores_1threads_16NCORE_11961872_202512221213.OUTCAR,11961872,2025.12.22 12:13:41,16,2048,2048,1,8968509,1,16,128,5248,53.3274,1114.572
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_32nodes_4096cores_1threads_4NCORE_11961880_202512221210.OUTCAR,11961880,2025.12.22 12:10:58,32,4096,4096,1,27285532,1,4,1024,6144,42.4431,1716.929
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_16nodes_512cores_1threads_16NCORE_11961866_202512221131.OUTCAR,11961866,2025.12.22 11:32:16,16,512,512,1,3555652,1,16,32,5184,48.4141,544.221
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_4nodes_128cores_1threads_4NCORE_11961844_202512221112.OUTCAR,11961844,2025.12.22 11:13:20,4,128,128,1,2802487,1,4,32,5184,221.6272,1665.793
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_4nodes_256cores_1threads_16NCORE_11961849_202512221131.OUTCAR,11961849,2025.12.22 11:32:13,4,256,256,1,2965832,1,16,16,5184,186.0895,1411.104
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_32nodes_4096cores_1threads_8NCORE_11961881_202512221210.OUTCAR,11961881,2025.12.22 12:11:07,32,4096,4096,1,25602231,1,8,512,5632,31.6975,1597.773
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_64nodes_2048cores_1threads_16NCORE_12040194_202512300914.OUTCAR,12040194,2025.12.30 09:15:39,64,2048,2048,1,10979092,1,16,128,5248,14.0782,452.598
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_8nodes_1024cores_1threads_4NCORE_11961860_202512221155.OUTCAR,11961860,2025.12.22 11:56:08,8,1024,1024,1,4762687,1,4,256,5376,111.5617,1136.143
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_1nodes_128cores_1threads_8NCORE_11961831_202512220941.OUTCAR,11961831,2025.12.22 09:41:49,1,128,128,1,2847531,1,8,16,5184,831.9317,5635.404
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_4nodes_512cores_1threads_16NCORE_11961852_202512221140.OUTCAR,11961852,2025.12.22 11:41:27,4,512,512,1,3624289,1,16,32,5184,207.9156,1673.849
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_2nodes_64cores_1threads_8NCORE_11961835_202512220941.OUTCAR,11961835,2025.12.22 09:42:03,2,64,64,1,2543276,1,8,8,5184,405.4702,2824.323
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_4nodes_512cores_1threads_4NCORE_11961850_202512221138.OUTCAR,11961850,2025.12.22 11:39:09,4,512,512,1,3575762,1,4,128,5248,216.3818,1661.663
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_16nodes_2048cores_1threads_8NCORE_11961871_202512221200.OUTCAR,11961871,2025.12.22 12:01:04,16,2048,2048,1,9441436,1,8,256,5376,55.2521,1127.101
ARCHER2,6.5.1-GCC-LibSci,/mnt/lustre/a2fs-work2/work/z19/z19/aturner/benchmark/VASP/Cirrus_comparison/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_64nodes_1024cores_1threads_16NCORE_12040191_202512300906.OUTCAR,12040191,2025.12.30 09:07:31,64,1024,1024,1,8709570,1,16,64,5184,19.0865,391.593
