System,Label,File,JobID,Date,Nodes,Cores,Processes,Threads,Energy,KPAR,NCORE,NPAR,Bands,LOOP+ Time,Runtime
Cirrus,6.5.1-GCC-LibSci,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_8nodes_2304cores_1threads_8NCORE_21624_202512201927.OUTCAR,21624,2025.12.20 19:27:49,8,2304,2304,1,3740748,1,8,288,5184,32.7654,437.59
Cirrus,6.5.1-GCC-LibSci,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_16nodes_1152cores_1threads_4NCORE_23226_202512270821.OUTCAR,23226,2025.12.27 08:22:08,16,1152,1152,1,3502229,1,4,288,5184,18.1573,264.823
Cirrus,6.5.1-GCC-LibSci,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_2nodes_576cores_1threads_4NCORE_21603_202512201906.OUTCAR,21603,2025.12.20 19:06:39,2,576,576,1,2101757,1,4,144,5184,123.7461,977.226
Cirrus,6.5.1-GCC-LibSci,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_16nodes_4608cores_1threads_4NCORE_21633_202512201941.OUTCAR,21633,2025.12.20 19:42:10,16,4608,4608,1,8613722,1,4,1152,5760,32.2528,515.377
Cirrus,6.5.1-GCC-LibSci,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_32nodes_768cores_12threads_1NCORE_22970_202512261103.OUTCAR,22970,2025.12.26 11:03:29,32,9216,768,12,5623720,1,1,768,5376,15.9589,283.651
Cirrus,6.5.1-GCC-LibSci,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_1nodes_72cores_1threads_8NCORE_23187_202512270816.OUTCAR,23187,2025.12.27 08:16:59,1,72,72,1,1551656,1,8,9,5184,255.945,1715.319
Cirrus,6.5.1-GCC-LibSci,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_1nodes_36cores_1threads_16NCORE_21586_202512201903.OUTCAR,21586,2025.12.20 19:03:08,1,36,36,1,1546147,1,1,36,5184,314.0971,2195.352
Cirrus,6.5.1-GCC-LibSci,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_4nodes_144cores_8threads_1NCORE_22959_202512261103.OUTCAR,22959,2025.12.26 11:03:28,4,1152,144,8,2637021,1,1,144,5184,95.5799,875.542
Cirrus,6.5.1-GCC-LibSci,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_64nodes_8192cores_1threads_16NCORE_22342_202512221038.OUTCAR,22342,2025.12.22 10:38:19,64,8192,8192,1,14298592,1,16,512,5632,13.5701,321.632
Cirrus,6.5.1-GCC-LibSci,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_32nodes_4608cores_2threads_1NCORE_22973_202512261110.OUTCAR,22973,2025.12.26 11:10:36,32,9216,4608,2,21996924,1,1,4608,9216,45.7635,690.725
Cirrus,6.5.1-GCC-LibSci,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_32nodes_4096cores_1threads_8NCORE_22331_202512221011.OUTCAR,22331,2025.12.22 10:11:31,32,4096,4096,1,8079173,1,8,512,5632,22.031,359.855
Cirrus,6.5.1-GCC-LibSci,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_8nodes_1152cores_2threads_1NCORE_22725_202512221918.OUTCAR,22725,2025.12.22 19:19:16,8,2304,1152,2,4138626,1,1,1152,5760,44.7255,504.303
Cirrus,6.5.1-GCC-LibSci,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_16nodes_2304cores_1threads_8NCORE_23230_202512270824.OUTCAR,23230,2025.12.27 08:24:23,16,2304,2304,1,4314333,1,8,288,5184,16.9148,269.169
Cirrus,6.5.1-GCC-LibSci,/mnt/lustre/e1000/home/z04/z04/aturner/benchmark/cirrus-ex/VASP/TiO2_MCC/6.5.1-GCC-LibSci/TiO2MCC_64nodes_4608cores_1threads_4NCORE_21647_202512202000.OUTCAR,21647,2025.12.20 20:00:21,64,4608,4608,1,26499894,1,4,1152,5760,38.8988,540.913
