System,Label,File,JobID,Date,Nodes,Cores,Processes,Threads,GPUs,Energy,KPAR,NCORE,NPAR,Bands,LOOP+ Time,Runtime
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_32nodes_128cores_72threads_1NCORE_202603210739.OUTCAR,3252474,2026.03.21 07:40:16,32,9216,128,72,128,4412638.877538462,1,1,128,5248,10.0528,203.872
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_16nodes_64cores_72threads_1NCORE_202603191309.OUTCAR,3169870,2026.03.19 13:10:15,16,4608,64,72,64,2772137.9492881354,1,1,64,5184,16.7252,268.167
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_16nodes_64cores_72threads_1NCORE_202603191224.OUTCAR,3167265,2026.03.19 12:25:08,16,4608,64,72,64,2934872.9406060604,1,1,64,5184,16.2078,288.128
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_16nodes_64cores_72threads_1NCORE_202603181253.OUTCAR,3118515,2026.03.18 12:53:33,16,4608,64,72,64,2570440.324413793,1,1,64,5184,16.3635,263.342
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_1nodes_4cores_72threads_1NCORE_202603191224.OUTCAR,3167261,2026.03.19 12:25:05,1,288,4,72,4,355671.63899999997,1,1,4,5184,35.3146,316.493
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_64nodes_256cores_72threads_1NCORE_202603191224.OUTCAR,3167267,2026.03.19 12:25:10,64,18432,256,72,256,8758041.6,1,1,256,5376,9.1018,226.65
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_1nodes_4cores_72threads_1NCORE_202603210736.OUTCAR,3252469,2026.03.21 07:36:48,1,288,4,72,4,385160.14599999995,1,1,4,5184,47.0676,336.006
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_2nodes_8cores_72threads_1NCORE_202603181253.OUTCAR,3118512,2026.03.18 12:53:31,2,576,8,72,8,780979.8791578948,1,1,8,5184,43.8406,482.593
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_128nodes_512cores_72threads_1NCORE_202603191011.OUTCAR,3163098,2026.03.19 10:12:23,128,36864,512,72,512,17420757.15584,1,1,512,5632,6.9459,223.202
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_4nodes_16cores_72threads_1NCORE_202603181253.OUTCAR,3118513,2026.03.18 12:53:32,4,1152,16,72,16,1313855.904,1,1,16,5184,43.185,480.36
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_8nodes_32cores_72threads_1NCORE_202603210739.OUTCAR,3252472,2026.03.21 07:40:13,8,2304,32,72,32,2260672.0823762375,1,1,32,5184,29.704,411.008
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_32nodes_128cores_72threads_1NCORE_202603201507.OUTCAR,3245011,2026.03.20 15:08:08,32,9216,128,72,128,9287242.24,1,1,128,5248,10.0512,481.406
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_64nodes_256cores_72threads_1NCORE_202603191011.OUTCAR,3163097,2026.03.19 10:12:22,64,18432,256,72,256,9215066.258285714,1,1,256,5376,8.8175,227.224
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_1nodes_4cores_72threads_1NCORE_202603191011.OUTCAR,3163091,2026.03.19 10:12:15,1,288,4,72,4,458214.3512820513,1,1,4,5184,48.5985,338.911
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_32nodes_128cores_72threads_1NCORE_202603191309.OUTCAR,3169871,2026.03.19 13:10:15,32,9216,128,72,128,4482138.083018867,1,1,128,5248,10.2841,222.665
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_8nodes_32cores_72threads_1NCORE_202603201507.OUTCAR,3245009,2026.03.20 15:07:52,8,2304,32,72,32,3213424.308097561,1,1,32,5184,28.7799,624.447
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_8nodes_32cores_72threads_1NCORE_202603191011.OUTCAR,3163094,2026.03.19 10:12:17,8,2304,32,72,32,1958302.690909091,1,1,32,5184,27.7627,379.075
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_32nodes_128cores_72threads_1NCORE_202603191011.OUTCAR,3163096,2026.03.19 10:12:18,32,9216,128,72,128,4623941.6959999995,1,1,128,5248,10.3479,225.564
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_64nodes_256cores_72threads_1NCORE_202603191309.OUTCAR,3169872,2026.03.19 13:10:17,64,18432,256,72,256,8714323.626666667,1,1,256,5376,8.6359,216.448
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_64nodes_256cores_72threads_1NCORE_202603210745.OUTCAR,3252475,2026.03.21 07:45:49,64,18432,256,72,256,8254253.698327273,1,1,256,5376,8.7683,207.666
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_16nodes_64cores_72threads_1NCORE_202603210739.OUTCAR,3252473,2026.03.21 07:40:02,16,4608,64,72,64,2395021.7344,1,1,64,5184,15.7123,250.77
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_2nodes_8cores_72threads_1NCORE_202603191224.OUTCAR,3167262,2026.03.19 12:25:04,2,576,8,72,8,865527.0333913043,1,1,8,5184,54.1211,552.779
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_16nodes_64cores_72threads_1NCORE_202603191011.OUTCAR,3163095,2026.03.19 10:12:18,16,4608,64,72,64,2709338.3415172417,1,1,64,5184,16.0877,266.259
IsambardAI,6.5.1-NVHPC-LibSci-OpenACC,/lus/lfs1aip2/projects/u6cb/benchmarks/VASP/TiO2_MCC/6.5.1-NVHPC-LibSci-OpenACC/TiO2_2nodes_8cores_72threads_1NCORE_202603181236.OUTCAR,3117946,2026.03.18 12:37:12,2,576,8,72,8,782076.225,1,1,8,5184,51.6889,512.509
