System,Label,File,JobID,Date,Nodes,Cores,Processes,Threads,GPUs,Energy,KPAR,NCORE,NPAR,Bands,LOOP+ Time,Runtime
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/TiO2_MCC/6.5.1-GCC-MKL-OpenACC/TiO2_2nodes_8cores_8threads_1NCORE_202512270819.OUTCAR,130669,2025.12.27 08:19:46,2,64,8,8,8,772811.0367058823,1,1,8,5184,58.8325,654.762
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/TiO2_MCC/6.5.1-GCC-MKL-OpenACC/TiO2_2nodes_8cores_8threads_1NCORE_202512300855.OUTCAR,130883,2025.12.30 08:56:11,2,64,8,8,8,790691.3362222223,1,1,8,5184,61.5787,679.702
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/TiO2_MCC/6.5.1-GCC-MKL-OpenACC/TiO2_2nodes_8cores_8threads_1NCORE_202512300853.OUTCAR,130881,2025.12.30 08:54:26,2,64,8,8,8,886885.6464516128,1,1,8,5184,66.9253,734.312
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/TiO2_MCC/6.5.1-GCC-MKL-OpenACC/TiO2_1nodes_4cores_8threads_1NCORE_202512300843.OUTCAR,130878,2025.12.30 08:43:37,1,32,4,8,4,507232.37675,1,1,4,5184,45.9791,474.314
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/TiO2_MCC/6.5.1-GCC-MKL-OpenACC/TiO2_2nodes_8cores_8threads_1NCORE_202512300907.OUTCAR,130885,2025.12.30 09:07:22,2,64,8,8,8,897736.3606349208,1,1,8,5184,63.4419,701.662
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/TiO2_MCC/6.5.1-GCC-MKL-OpenACC/TiO2_2nodes_8cores_8threads_1NCORE_202512300843.OUTCAR,130880,2025.12.30 08:44:00,2,64,8,8,8,837124.923826087,1,1,8,5184,55.6497,658.264
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/TiO2_MCC/6.5.1-GCC-MKL-OpenACC/TiO2_1nodes_4cores_8threads_1NCORE_202512270811.OUTCAR,130666,2025.12.27 08:12:04,1,32,4,8,4,471896.00625000003,1,1,4,5184,40.5301,414.725
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/TiO2_MCC/6.5.1-GCC-MKL-OpenACC/TiO2_1nodes_4cores_8threads_1NCORE_202512290713.OUTCAR,130759,2025.12.29 07:14:08,1,32,4,8,4,498863.26769230777,1,1,4,5184,46.051,477.552
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/TiO2_MCC/6.5.1-GCC-MKL-OpenACC/TiO2_2nodes_8cores_8threads_1NCORE_202512231448.OUTCAR,130324,2025.12.23 14:49:03,2,64,8,8,8,924406.7444444444,1,1,8,5184,58.9689,698.753
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/TiO2_MCC/6.5.1-GCC-MKL-OpenACC/TiO2_8nodes_32cores_8threads_1NCORE_202512281617.OUTCAR,130627,2025.12.28 16:18:36,8,256,32,8,32,3140607.3600000003,1,1,32,5184,34.5151,545.2
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/TiO2_MCC/6.5.1-GCC-MKL-OpenACC/TiO2_2nodes_8cores_8threads_1NCORE_202512270831.OUTCAR,130671,2025.12.27 08:31:44,2,64,8,8,8,787895.3173684209,1,1,8,5184,61.6779,663.555
Tursa,6.5.1-GCC-MKL-OpenACC,/mnt/lustre/tursafs1/home/z01/z01/dc-turn1/benchmarks/VASP/TiO2_MCC/6.5.1-GCC-MKL-OpenACC/TiO2_4nodes_16cores_8threads_1NCORE_202512281648.OUTCAR,130628,2025.12.28 16:48:47,4,128,16,8,16,1272197.2393513513,1,1,16,5184,48.6859,614.474
