#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    15:21:44       0     84     33     42 
 20260323    15:21:44       1     92     34     44 
 20260323    15:21:44       2     94     34     42 
 20260323    15:21:44       3     97     32     40 
 20260323    15:22:15       0    132     35     42 
 20260323    15:22:15       1    139     36     45 
 20260323    15:22:15       2    140     36     42 
 20260323    15:22:15       3    145     34     42 
 20260323    15:22:45       0    134     35     42 
 20260323    15:22:45       1    140     36     44 
 20260323    15:22:45       2    142     37     44 
 20260323    15:22:45       3    146     34     42 
 20260323    15:23:15       0    382     46     50 
 20260323    15:23:15       1    388     48     52 
 20260323    15:23:15       2    394     48     51 
 20260323    15:23:15       3    395     45     48 
 20260323    15:23:45       0    378     46     52 
 20260323    15:23:45       1    370     47     52 
 20260323    15:23:45       2    385     48     54 
 20260323    15:23:45       3    388     44     49 
 20260323    15:24:15       0    533     50     60 
 20260323    15:24:15       1    535     52     62 
 20260323    15:24:15       2    543     52     62 
 20260323    15:24:15       3    547     48     58 
 20260323    15:24:45       0    533     50     62 
 20260323    15:24:45       1    534     53     65 
 20260323    15:24:45       2    540     53     64 
 20260323    15:24:45       3    548     48     60 
 20260323    15:25:15       0    535     51     60 
 20260323    15:25:15       1    535     54     66 
 20260323    15:25:15       2    541     53     64 
 20260323    15:25:15       3    549     49     60 
 20260323    15:25:45       0    534     50     60 
 20260323    15:25:45       1    537     54     65 
 20260323    15:25:45       2    541     53     63 
 20260323    15:25:45       3    550     48     60 
 20260323    15:26:15       0    524     51     60 
 20260323    15:26:15       1    526     54     66 
 20260323    15:26:15       2    532     53     63 
 20260323    15:26:15       3    540     49     60 
 20260323    15:26:45       0    535     50     61 
 20260323    15:26:45       1    534     54     65 
 20260323    15:26:45       2    543     53     64 
 20260323    15:26:45       3    552     49     61 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    15:27:15       0    517     49     59 
 20260323    15:27:15       1    517     52     62 
 20260323    15:27:15       2    524     54     65 
 20260323    15:27:15       3    532     46     54 
 20260323    15:27:45       0    162     38     46 
 20260323    15:27:45       1    170     41     50 
 20260323    15:27:45       2    176     41     49 
 20260323    15:27:45       3    175     37     46 
 20260323    15:28:15       0    163     38     47 
 20260323    15:28:15       1    170     40     49 
 20260323    15:28:15       2    175     40     48 
 20260323    15:28:15       3    179     37     45 
 20260323    15:28:45       0    165     38     46 
 20260323    15:28:45       1    168     40     48 
 20260323    15:28:45       2    175     40     48 
 20260323    15:28:45       3    177     37     44 
 20260323    15:29:15       0    164     38     46 
 20260323    15:29:15       1    169     40     48 
 20260323    15:29:15       2    174     40     46 
 20260323    15:29:15       3    176     37     44 
 20260323    15:29:45       0    165     38     46 
 20260323    15:29:45       1    170     40     48 
 20260323    15:29:45       2    175     40     47 
 20260323    15:29:45       3    175     37     44 
 20260323    15:30:15       0    528     51     60 
 20260323    15:30:15       1    527     53     65 
 20260323    15:30:15       2    534     53     62 
 20260323    15:30:15       3    544     49     60 
 20260323    15:30:45       0    531     50     60 
 20260323    15:30:45       1    533     53     64 
 20260323    15:30:45       2    540     53     63 
 20260323    15:30:45       3    551     48     59 
 20260323    15:31:15       0    534     50     60 
 20260323    15:31:15       1    534     53     66 
 20260323    15:31:15       2    539     53     64 
 20260323    15:31:15       3    551     49     60 
 20260323    15:31:45       0    532     50     60 
 20260323    15:31:45       1    534     53     66 
 20260323    15:31:45       2    539     53     63 
 20260323    15:31:45       3    546     48     58 
 20260323    15:32:15       0    532     50     61 
 20260323    15:32:15       1    531     53     67 
 20260323    15:32:15       2    541     53     65 
 20260323    15:32:15       3    546     49     58 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    15:32:45       0    534     50     62 
 20260323    15:32:45       1    534     54     67 
 20260323    15:32:45       2    539     53     64 
 20260323    15:32:45       3    551     49     60 
 20260323    15:33:15       0    138     38     48 
 20260323    15:33:15       1    145     42     54 
 20260323    15:33:15       2    149     42     52 
 20260323    15:33:15       3    152     37     48 
 20260323    15:33:45       0    507     49     60 
 20260323    15:33:45       1    528     53     64 
 20260323    15:33:45       2    533     53     63 
 20260323    15:33:45       3    543     48     58 
 20260323    15:34:15       0    529     50     62 
 20260323    15:34:15       1    526     54     67 
 20260323    15:34:15       2    535     53     65 
 20260323    15:34:15       3    534     48     59 
 20260323    15:34:45       0    528     50     60 
 20260323    15:34:45       1    532     53     65 
 20260323    15:34:45       2    538     53     62 
 20260323    15:34:45       3    550     49     58 
 20260323    15:35:15       0    525     50     62 
 20260323    15:35:15       1    531     54     66 
 20260323    15:35:15       2    537     53     66 
 20260323    15:35:15       3    546     48     59 
 20260323    15:35:45       0    527     50     61 
 20260323    15:35:45       1    531     54     67 
 20260323    15:35:45       2    537     54     64 
 20260323    15:35:45       3    549     49     61 
 20260323    15:36:15       0    529     50     62 
 20260323    15:36:15       1    527     54     66 
 20260323    15:36:15       2    535     53     64 
 20260323    15:36:15       3    542     49     62 
 20260323    15:36:45       0    529     50     62 
 20260323    15:36:45       1    528     54     66 
 20260323    15:36:45       2    538     54     65 
 20260323    15:36:45       3    550     49     60 
 20260323    15:37:15       0    532     50     62 
 20260323    15:37:15       1    531     54     66 
 20260323    15:37:15       2    538     54     65 
 20260323    15:37:15       3    549     48     59 
 20260323    15:37:45       0    532     50     61 
 20260323    15:37:45       1    531     54     65 
 20260323    15:37:45       2    537     53     64 
 20260323    15:37:45       3    547     49     58 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    15:38:15       0    534     51     61 
 20260323    15:38:15       1    533     54     68 
 20260323    15:38:15       2    540     54     64 
 20260323    15:38:15       3    547     49     62 
 20260323    15:38:45       0    529     50     62 
 20260323    15:38:45       1    531     54     66 
 20260323    15:38:45       2    537     54     65 
 20260323    15:38:45       3    548     49     59 
 20260323    15:39:15       0    531     51     60 
 20260323    15:39:15       1    530     54     64 
 20260323    15:39:15       2    540     54     65 
 20260323    15:39:15       3    549     49     59 
 20260323    15:39:45       0    533     50     62 
 20260323    15:39:45       1    534     54     68 
 20260323    15:39:45       2    539     54     65 
 20260323    15:39:45       3    547     48     59 
 20260323    15:40:15       0    302     44     50 
 20260323    15:40:15       1    358     50     57 
 20260323    15:40:15       2    367     50     55 
 20260323    15:40:15       3    368     45     51 
 20260323    15:40:45       0    294     43     50 
 20260323    15:40:45       1    298     45     54 
 20260323    15:40:45       2    320     46     52 
 20260323    15:40:45       3    322     41     48 
 20260323    15:41:15       0    378     44     50 
 20260323    15:41:15       1    220     44     53 
 20260323    15:41:15       2    216     45     50 
 20260323    15:41:15       3    229     41     48 
 20260323    15:41:45       0    269     42     49 
 20260323    15:41:45       1    300     45     53 
 20260323    15:41:45       2    313     46     52 
 20260323    15:41:45       3    317     41     47 
 20260323    15:42:15       0    299     43     48 
 20260323    15:42:15       1    298     45     53 
 20260323    15:42:15       2    321     46     52 
 20260323    15:42:15       3    315     41     47 
 20260323    15:42:45       0    354     43     48 
 20260323    15:42:45       1    241     45     52 
 20260323    15:42:45       2    249     45     50 
 20260323    15:42:45       3    248     42     47 
 20260323    15:43:15       0    274     42     48 
 20260323    15:43:15       1    317     46     52 
 20260323    15:43:15       2    326     46     51 
 20260323    15:43:15       3    328     42     48 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    15:43:45       0    288     43     48 
 20260323    15:43:45       1    305     45     52 
 20260323    15:43:45       2    314     45     51 
 20260323    15:43:45       3    315     41     47 
 20260323    15:44:15       0    285     42     50 
 20260323    15:44:15       1    306     45     52 
 20260323    15:44:15       2    319     46     51 
 20260323    15:44:15       3    330     42     46 
 20260323    15:44:45       0    294     42     50 
 20260323    15:44:45       1    312     45     52 
 20260323    15:44:45       2    317     45     50 
 20260323    15:44:45       3    319     41     47 
 20260323    15:45:15       0    420     48     50 
 20260323    15:45:15       1    140     39     48 
 20260323    15:45:15       2    141     39     48 
 20260323    15:45:15       3    145     35     44 
 20260323    15:45:45       0    370     46     50 
 20260323    15:45:45       1    244     41     50 
 20260323    15:45:45       2    230     41     49 
 20260323    15:45:45       3    246     37     46 
 20260323    15:46:15       0    285     43     48 
 20260323    15:46:15       1    309     45     52 
 20260323    15:46:15       2    316     46     51 
 20260323    15:46:15       3    318     42     46 
 20260323    15:46:45       0    261     42     48 
 20260323    15:46:45       1    270     44     52 
 20260323    15:46:45       2    281     45     51 
 20260323    15:46:45       3    288     40     47 
 20260323    15:47:15       0    242     41     48 
 20260323    15:47:15       1    271     44     51 
 20260323    15:47:15       2    286     45     50 
 20260323    15:47:15       3    285     40     46 
 20260323    15:47:45       0    261     41     49 
 20260323    15:47:45       1    366     48     54 
 20260323    15:47:45       2    378     49     53 
 20260323    15:47:45       3    381     44     49 
 20260323    15:48:15       0    262     41     48 
 20260323    15:48:15       1    388     48     54 
 20260323    15:48:15       2    401     49     52 
 20260323    15:48:15       3    400     44     49 
 20260323    15:48:45       0    251     41     48 
 20260323    15:48:45       1    362     47     53 
 20260323    15:48:45       2    379     48     53 
 20260323    15:48:45       3    376     43     48 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    15:49:15       0    426     47     50 
 20260323    15:49:15       1    140     40     50 
 20260323    15:49:15       2    147     40     49 
 20260323    15:49:15       3    145     35     44 
