#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260321    07:34:48       0    100     32     41 
 20260321    07:34:48       1     82     34     42 
 20260321    07:34:48       2     87     34     43 
 20260321    07:34:48       3     96     34     40 
 20260321    07:35:18       0    147     34     42 
 20260321    07:35:18       1    131     36     43 
 20260321    07:35:18       2    134     36     43 
 20260321    07:35:18       3    142     36     42 
 20260321    07:35:48       0    147     34     42 
 20260321    07:35:48       1    131     36     43 
 20260321    07:35:48       2    135     36     44 
 20260321    07:35:48       3    142     36     42 
 20260321    07:36:18       0    361     44     46 
 20260321    07:36:18       1    337     46     49 
 20260321    07:36:18       2    346     45     49 
 20260321    07:36:18       3    355     46     46 
 20260321    07:36:48       0    448     45     54 
 20260321    07:36:48       1    433     49     57 
 20260321    07:36:48       2    441     47     57 
 20260321    07:36:48       3    450     47     54 
 20260321    07:37:18       0    452     45     55 
 20260321    07:37:18       1    441     49     57 
 20260321    07:37:18       2    445     48     59 
 20260321    07:37:18       3    450     47     55 
 20260321    07:37:48       0    454     46     54 
 20260321    07:37:48       1    432     49     58 
 20260321    07:37:48       2    446     49     57 
 20260321    07:37:48       3    450     47     56 
 20260321    07:38:18       0    455     45     55 
 20260321    07:38:18       1    445     50     58 
 20260321    07:38:18       2    445     49     59 
 20260321    07:38:18       3    449     47     54 
 20260321    07:38:48       0    447     43     52 
 20260321    07:38:48       1    432     47     55 
 20260321    07:38:48       2    440     46     55 
 20260321    07:38:48       3    447     45     53 
 20260321    07:39:18       0    452     45     55 
 20260321    07:39:18       1    442     51     59 
 20260321    07:39:18       2    445     49     59 
 20260321    07:39:18       3    450     47     56 
 20260321    07:39:48       0    189     37     47 
 20260321    07:39:48       1    173     42     51 
 20260321    07:39:48       2    179     41     51 
 20260321    07:39:48       3    181     40     48 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260321    07:40:18       0    451     45     58 
 20260321    07:40:18       1    443     51     61 
 20260321    07:40:18       2    445     49     60 
 20260321    07:40:18       3    452     47     57 
 20260321    07:40:48       0    449     45     57 
 20260321    07:40:48       1    444     51     62 
 20260321    07:40:48       2    446     49     60 
 20260321    07:40:48       3    451     47     59 
 20260321    07:41:18       0    369     44     49 
 20260321    07:41:18       1    352     49     53 
 20260321    07:41:18       2    361     47     54 
 20260321    07:41:18       3    368     46     50 
 20260321    07:41:48       0    370     44     51 
 20260321    07:41:48       1    352     49     53 
 20260321    07:41:48       2    362     47     54 
 20260321    07:41:48       3    370     46     51 
 20260321    07:42:18       0    369     44     49 
 20260321    07:42:18       1    351     49     54 
 20260321    07:42:18       2    358     47     53 
 20260321    07:42:18       3    364     46     50 
 20260321    07:42:48       0    368     44     50 
 20260321    07:42:48       1    354     49     53 
 20260321    07:42:48       2    360     47     53 
 20260321    07:42:48       3    367     46     50 
 20260321    07:43:18       0    369     44     48 
 20260321    07:43:18       1    352     48     53 
 20260321    07:43:18       2    358     47     53 
 20260321    07:43:18       3    366     46     50 
 20260321    07:43:48       0    150     35     43 
 20260321    07:43:48       1    135     38     46 
 20260321    07:43:48       2    140     38     47 
 20260321    07:43:48       3    149     37     44 
 20260321    07:44:18       0    149     34     42 
 20260321    07:44:18       1    132     38     45 
 20260321    07:44:18       2    136     37     46 
 20260321    07:44:18       3    142     36     42 
