#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    21:31:09       0     91     34     43 
 20260323    21:31:09       1     89     36     45 
 20260323    21:31:09       2     94     35     44 
 20260323    21:31:09       3     92     35     44 
 20260323    21:31:39       0    137     36     45 
 20260323    21:31:39       1    137     38     44 
 20260323    21:31:39       2    141     37     44 
 20260323    21:31:39       3    140     37     44 
 20260323    21:32:09       0    137     35     45 
 20260323    21:32:09       1    137     38     44 
 20260323    21:32:09       2    141     37     44 
 20260323    21:32:09       3    139     37     44 
 20260323    21:32:39       0    137     36     45 
 20260323    21:32:39       1    137     38     44 
 20260323    21:32:39       2    141     37     44 
 20260323    21:32:39       3    139     37     45 
 20260323    21:33:09       0    137     36     45 
 20260323    21:33:09       1    137     38     45 
 20260323    21:33:09       2    141     37     45 
 20260323    21:33:09       3    139     37     44 
 20260323    21:33:39       0    137     36     45 
 20260323    21:33:39       1    137     38     46 
 20260323    21:33:39       2    141     37     45 
 20260323    21:33:39       3    139     37     44 
 20260323    21:34:09       0    137     36     45 
 20260323    21:34:09       1    137     38     44 
 20260323    21:34:09       2    141     37     45 
 20260323    21:34:09       3    139     37     44 
 20260323    21:34:39       0    137     36     45 
 20260323    21:34:39       1    137     38     44 
 20260323    21:34:39       2    141     37     44 
 20260323    21:34:39       3    139     37     44 
 20260323    21:35:09       0    137     36     45 
 20260323    21:35:09       1    137     38     44 
 20260323    21:35:09       2    141     37     45 
 20260323    21:35:09       3    139     37     44 
 20260323    21:35:39       0    137     36     45 
 20260323    21:35:39       1    137     38     44 
 20260323    21:35:39       2    141     37     44 
 20260323    21:35:39       3    139     37     44 
 20260323    21:36:09       0    137     36     45 
 20260323    21:36:09       1    137     38     44 
 20260323    21:36:09       2    141     37     44 
 20260323    21:36:09       3    140     37     44 
#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260323    21:36:39       0    137     36     45 
 20260323    21:36:39       1    137     38     44 
 20260323    21:36:39       2    141     37     45 
 20260323    21:36:39       3    140     37     44 
 20260323    21:37:09       0    137     36     45 
 20260323    21:37:09       1    137     38     44 
 20260323    21:37:09       2    141     37     44 
 20260323    21:37:09       3    139     37     44 
 20260323    21:37:39       0    137     36     45 
 20260323    21:37:39       1    137     38     45 
 20260323    21:37:39       2    141     37     45 
 20260323    21:37:39       3    140     37     44 
 20260323    21:38:09       0    137     36     45 
 20260323    21:38:09       1    137     38     44 
 20260323    21:38:09       2    141     37     45 
 20260323    21:38:09       3    139     37     44 
 20260323    21:38:39       0    137     36     45 
 20260323    21:38:39       1    137     38     44 
 20260323    21:38:39       2    141     37     44 
 20260323    21:38:39       3    139     37     44 
 20260323    21:39:09       0    137     36     45 
 20260323    21:39:09       1    137     38     45 
 20260323    21:39:09       2    141     37     44 
 20260323    21:39:09       3    139     37     44 
 20260323    21:39:39       0    137     36     45 
 20260323    21:39:39       1    137     38     46 
 20260323    21:39:39       2    142     37     44 
 20260323    21:39:39       3    139     37     44 
 20260323    21:40:09       0    137     36     45 
 20260323    21:40:09       1    137     38     44 
