#Date        Time         gpu    pwr  gtemp  mtemp 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C 
 20260318    12:53:10       0     91     34     43 
 20260318    12:53:10       1     95     34     43 
 20260318    12:53:10       2     80     35     44 
 20260318    12:53:10       3     90     35     44 
 20260318    12:53:40       0    137     36     44 
 20260318    12:53:40       1    142     35     43 
 20260318    12:53:40       2    127     37     44 
 20260318    12:53:40       3    138     36     44 
 20260318    12:54:10       0    136     34     42 
 20260318    12:54:10       1    141     34     43 
 20260318    12:54:10       2    126     36     44 
 20260318    12:54:10       3    138     35     44 
 20260318    12:54:40       0    136     33     42 
 20260318    12:54:40       1    140     33     42 
 20260318    12:54:40       2    126     35     42 
 20260318    12:54:40       3    138     34     42 
 20260318    12:55:10       0    154     35     42 
 20260318    12:55:10       1    157     35     43 
 20260318    12:55:10       2    144     36     44 
 20260318    12:55:10       3    154     36     44 
 20260318    12:55:40       0    154     36     43 
 20260318    12:55:40       1    157     35     43 
 20260318    12:55:40       2    143     37     44 
 20260318    12:55:40       3    154     36     44 
 20260318    12:56:10       0    182     36     42 
 20260318    12:56:10       1    187     36     45 
 20260318    12:56:10       2    183     38     46 
 20260318    12:56:10       3    180     37     46 
 20260318    12:56:40       0    153     36     42 
 20260318    12:56:40       1    159     36     45 
 20260318    12:56:40       2    143     38     46 
 20260318    12:56:40       3    155     37     46 
 20260318    12:57:10       0    153     37     44 
 20260318    12:57:10       1    159     36     45 
 20260318    12:57:10       2    143     38     46 
 20260318    12:57:10       3    156     38     46 
